"1","token_0001","data","1","1","0","50","40","1.00","pds"
"2","token_0002","research","1","1","0","38","36","0.90","responsibilities"
"3","token_0003","science","1","1","0","20","25","0.63","pds"
"4","token_0004","communication","1","1","0","26","22","0.55","pds"
"5","token_0005","curation","1","1","0","21","35","0.88","pds"
"6","token_0006","data management","1","2","0","12","24","0.60","qualifications"
"7","token_0007","research data","0","2","0","7","20","0.50","qualifications"
"8","token_0008","experience with","0","2","1","8","31","0.78","qualifications"
"9","token_0009","workshops","1","1","0","5","12","0.30","pds"
"10","token_0010","programming","0","1","0","4","15","0.38","responsibilities"
